College,Branch,Year,University,Category,Percentile
Modern College Of Engineering,Information Technology ,2023,Pune University,EWS,93.81
Modern College Of Engineering,Information Technology ,2023,Pune University,GOBCS,92.61
Modern College Of Engineering,Mechanical Engineering,2023,Pune University,GOPENS,42.3
Modern College Of Engineering,Mechanical Engineering,2023,Pune University,TFWS,55
Modern College Of Engineering,Mechanical Engineering,2023,Pune University,EWS,42.3
Modern College Of Engineering,Mechanical Engineering,2023,Pune University,GOBCS,6.82
Modern College Of Engineering,Elecrical Engineering,2023,Pune University,GOPENS,51.93
Modern College Of Engineering,Elecrical Engineering,2023,Pune University,TFWS,75.35
Modern College Of Engineering,Elecrical Engineering,2023,Pune University,EWS,65.59
Modern College Of Engineering,Elecrical Engineering,2023,Pune University,GOBCS,35.65
MMCOE ,Computer Engineering,2023,Pune University,GOPENS,94.04
MMCOE ,Computer Engineering,2023,Pune University,TFWS,95.6
MMCOE ,Computer Engineering,2023,Pune University,EWS,93.7
MMCOE ,Computer Engineering,2023,Pune University,GOBCS,92.97
MMCOE ,Information Technology ,2023,Pune University,GOPENS,92.97
MMCOE ,Information Technology ,2023,Pune University,TFWS,94.43
MMCOE ,Information Technology ,2023,Pune University,EWS,93.18
MMCOE ,Information Technology ,2023,Pune University,GOBCS,92.48
MMCOE ,Mechanical Engineering,2023,Pune University,GOPENS,39.15
MMCOE ,Mechanical Engineering,2023,Pune University,TFWS,46.6
MMCOE ,Mechanical Engineering,2023,Pune University,EWS,43.31
MMCOE ,Mechanical Engineering,2023,Pune University,GOBCS,10.77
MMCOE ,Elecrical Engineering,2023,Pune University,GOPENS,45.91
MMCOE ,Elecrical Engineering,2023,Pune University,TFWS,88.87
MMCOE ,Elecrical Engineering,2023,Pune University,EWS,57.69
MMCOE ,Elecrical Engineering,2023,Pune University,GOBCS,22.25
Sinhagad College Of Engineering,Computer Engineering,2023,Pune University,GOPENS,93.56
Sinhagad College Of Engineering,Computer Engineering,2023,Pune University,TFWS,95.22
Sinhagad College Of Engineering,Computer Engineering,2023,Pune University,EWS,93.96
Sinhagad College Of Engineering,Computer Engineering,2023,Pune University,GOBCS,92.61
Sinhagad College Of Engineering,Information Technology ,2023,Pune University,GOPENS,92.33
Sinhagad College Of Engineering,Information Technology ,2023,Pune University,TFWS,94.41
Sinhagad College Of Engineering,Information Technology ,2023,Pune University,EWS,93.17
Sinhagad College Of Engineering,Information Technology ,2023,Pune University,GOBCS,91.83
Sinhagad College Of Engineering,Mechanical Engineering,2023,Pune University,GOPENS,20.23
Sinhagad College Of Engineering,Mechanical Engineering,2023,Pune University,TFWS,66.96
Sinhagad College Of Engineering,Mechanical Engineering,2023,Pune University,EWS,38.56
Sinhagad College Of Engineering,Mechanical Engineering,2023,Pune University,GOBCS,1.13
Sinhagad College Of Engineering,Elecrical Engineering,2023,Pune University,GOPENS,80.45
Sinhagad College Of Engineering,Elecrical Engineering,2023,Pune University,TFWS,90.12
Sinhagad College Of Engineering,Elecrical Engineering,2023,Pune University,EWS,84.68
Sinhagad College Of Engineering,Elecrical Engineering,2023,Pune University,GOBCS,77.6
AISSMS,Computer Engineering,2023,Pune University,GOPENS,95.95
AISSMS,Computer Engineering,2023,Pune University,TFWS,96.95
AISSMS,Computer Engineering,2023,Pune University,EWS,96.19
AISSMS,Computer Engineering,2023,Pune University,GOBCS,95.11
AISSMS,Information Technology ,2023,Pune University,GOPENS,91.95
AISSMS,Information Technology ,2023,Pune University,TFWS,96.33
AISSMS,Information Technology ,2023,Pune University,EWS,92.22
AISSMS,Information Technology ,2023,Pune University,GOBCS,92.26
AISSMS,Mechanical Engineering,2023,Pune University,GOPENS,39.38
AISSMS,Mechanical Engineering,2023,Pune University,TFWS,78.48
AISSMS,Mechanical Engineering,2023,Pune University,EWS,72.57
AISSMS,Mechanical Engineering,2023,Pune University,GOBCS,41.91
AISSMS,Elecrical Engineering,2023,Pune University,GOPENS,69.7
AISSMS,Elecrical Engineering,2023,Pune University,TFWS,87.41
AISSMS,Elecrical Engineering,2023,Pune University,EWS,79.28
AISSMS,Elecrical Engineering,2023,Pune University,GOBCS,55.21
AISSMS IOIT,Computer Engineering,2023,Pune University,GOPENS,95.38
AISSMS IOIT,Computer Engineering,2023,Pune University,TFWS,96.67
AISSMS IOIT,Computer Engineering,2023,Pune University,EWS,95.37
AISSMS IOIT,Computer Engineering,2023,Pune University,GOBCS,95.04
AISSMS IOIT,Information Technology ,2023,Pune University,GOPENS,94.95
AISSMS IOIT,Information Technology ,2023,Pune University,TFWS,96.38
AISSMS IOIT,Information Technology ,2023,Pune University,EWS,94.81
AISSMS IOIT,Information Technology ,2023,Pune University,GOBCS,94.65
AISSMS IOIT,Mechanical Engineering,2023,Pune University,GOPENS,54.16
AISSMS IOIT,Mechanical Engineering,2023,Pune University,TFWS,69.12
AISSMS IOIT,Mechanical Engineering,2023,Pune University,EWS,64
AISSMS IOIT,Mechanical Engineering,2023,Pune University,GOBCS,36.71
AISSMS IOIT,Elecrical Engineering,2023,Pune University,GOPENS,68.7
AISSMS IOIT,Elecrical Engineering,2023,Pune University,TFWS,80.87
AISSMS IOIT,Elecrical Engineering,2023,Pune University,EWS,66.65
AISSMS IOIT,Elecrical Engineering,2023,Pune University,GOBCS,64.49
"Government College of Engineering, Amravati",Computer Engineering,2023,Pune University,GOPENS,94.44
"Government College of Engineering, Amravati",Computer Engineering,2023,Pune University,TFWS,96.81
"Government College of Engineering, Amravati",Computer Engineering,2023,Pune University,EWS,95.38
"Government College of Engineering, Amravati",Computer Engineering,2023,Pune University,GOBCS,93.56
"Government College of Engineering, Amravati",Information Technology ,2023,Pune University,GOPENS,90.5
"Government College of Engineering, Amravati",Information Technology ,2023,Pune University,TFWS,94.12
"Government College of Engineering, Amravati",Information Technology ,2023,Pune University,EWS,88.8
"Government College of Engineering, Amravati",Information Technology ,2023,Pune University,GOBCS,86.94
"Government College of Engineering, Amravati",Mechanical Engineering,2023,Pune University,GOPENS,72.89
"Government College of Engineering, Amravati",Mechanical Engineering,2023,Pune University,TFWS,85.59
"Government College of Engineering, Amravati",Mechanical Engineering,2023,Pune University,EWS,74.36
"Government College of Engineering, Amravati",Mechanical Engineering,2023,Pune University,GOBCS,67.48
"Government College of Engineering, Amravati",Elecrical Engineering,2023,Pune University,GOPENS,77.15
"Government College of Engineering, Amravati",Elecrical Engineering,2023,Pune University,TFWS,86
"Government College of Engineering, Amravati",Elecrical Engineering,2023,Pune University,EWS,76.45
"Government College of Engineering, Amravati",Elecrical Engineering,2023,Pune University,GOBCS,69.12
VJTI Mumbai,Computer Engineering,2023,Mumbai University,GOPENS,99.9
VJTI Mumbai,Computer Engineering,2023,Mumbai University,TFWS,99.9
VJTI Mumbai,Computer Engineering,2023,Mumbai University,EWS,99.78
VJTI Mumbai,Computer Engineering,2023,Mumbai University,GOBCS,99.79
VJTI Mumbai,Information Technology ,2023,Mumbai University,GOPENS,99.82
VJTI Mumbai,Information Technology ,2023,Mumbai University,TFWS,99.84
VJTI Mumbai,Information Technology ,2023,Mumbai University,EWS,99.63
VJTI Mumbai,Information Technology ,2023,Mumbai University,GOBCS,99.66
VJTI Mumbai,Mechanical Engineering,2023,Mumbai University,GOPENS,98.76
VJTI Mumbai,Mechanical Engineering,2023,Mumbai University,TFWS,98.13
VJTI Mumbai,Mechanical Engineering,2023,Mumbai University,EWS,97.67
VJTI Mumbai,Mechanical Engineering,2023,Mumbai University,GOBCS,97.95
VJTI Mumbai,Elecrical Engineering,2023,Mumbai University,GOPENS,99.06
VJTI Mumbai,Elecrical Engineering,2023,Mumbai University,TFWS,98.83
VJTI Mumbai,Elecrical Engineering,2023,Mumbai University,EWS,97.97
VJTI Mumbai,Elecrical Engineering,2023,Mumbai University,GOBCS,98.54
KJ Somaiya Institute Of Techinlogy,Computer Engineering,2023,Mumbai University,GOPENS,97.57
KJ Somaiya Institute Of Techinlogy,Computer Engineering,2023,Mumbai University,TFWS,97.96
KJ Somaiya Institute Of Techinlogy,Computer Engineering,2023,Mumbai University,EWS,96.77
KJ Somaiya Institute Of Techinlogy,Computer Engineering,2023,Mumbai University,GOBCS,89.95
KJ Somaiya Institute Of Techinlogy,Information Technology ,2023,Mumbai University,GOPENS,96.85
KJ Somaiya Institute Of Techinlogy,Information Technology ,2023,Mumbai University,TFWS,97.73
KJ Somaiya Institute Of Techinlogy,Information Technology ,2023,Mumbai University,EWS,96.28
KJ Somaiya Institute Of Techinlogy,Information Technology ,2023,Mumbai University,GOBCS,88.02
KJ Somaiya Institute Of Techinlogy,Mechanical Engineering,2023,Mumbai University,GOPENS,93.04
KJ Somaiya Institute Of Techinlogy,Mechanical Engineering,2023,Mumbai University,TFWS,94.84
KJ Somaiya Institute Of Techinlogy,Mechanical Engineering,2023,Mumbai University,EWS,91.57
KJ Somaiya Institute Of Techinlogy,Mechanical Engineering,2023,Mumbai University,GOBCS,90.45
KJ Somaiya Institute Of Techinlogy,Elecrical Engineering,2023,Mumbai University,GOPENS,94.85
KJ Somaiya Institute Of Techinlogy,Elecrical Engineering,2023,Mumbai University,TFWS,94.89
KJ Somaiya Institute Of Techinlogy,Elecrical Engineering,2023,Mumbai University,EWS,94.55
KJ Somaiya Institute Of Techinlogy,Elecrical Engineering,2023,Mumbai University,GOBCS,93.56
" Sardar Patel College of Engineering, Andheri",Computer Engineering,2023,Mumbai University,GOPENS,99.72
" Sardar Patel College of Engineering, Andheri",Computer Engineering,2023,Mumbai University,TFWS,99.67
" Sardar Patel College of Engineering, Andheri",Computer Engineering,2023,Mumbai University,EWS,98.35
" Sardar Patel College of Engineering, Andheri",Computer Engineering,2023,Mumbai University,GOBCS,99.35
" Sardar Patel College of Engineering, Andheri",Information Technology ,2023,Mumbai University,GOPENS,99.6
" Sardar Patel College of Engineering, Andheri",Information Technology ,2023,Mumbai University,TFWS,99.58
" Sardar Patel College of Engineering, Andheri",Information Technology ,2023,Mumbai University,EWS,99.13
" Sardar Patel College of Engineering, Andheri",Information Technology ,2023,Mumbai University,GOBCS,99.25
" Sardar Patel College of Engineering, Andheri",Mechanical Engineering,2023,Mumbai University,GOPENS,98.12
" Sardar Patel College of Engineering, Andheri",Mechanical Engineering,2023,Mumbai University,TFWS,98.45
" Sardar Patel College of Engineering, Andheri",Mechanical Engineering,2023,Mumbai University,EWS,98.77
" Sardar Patel College of Engineering, Andheri",Mechanical Engineering,2023,Mumbai University,GOBCS,97.89
" Sardar Patel College of Engineering, Andheri",Elecrical Engineering,2023,Mumbai University,GOPENS,98.45
" Sardar Patel College of Engineering, Andheri",Elecrical Engineering,2023,Mumbai University,TFWS,99
" Sardar Patel College of Engineering, Andheri",Elecrical Engineering,2023,Mumbai University,EWS,98.77
" Sardar Patel College of Engineering, Andheri",Elecrical Engineering,2023,Mumbai University,GOBCS,97.85
" Thadomal Shahani Engineering College, Bandra, Mumbai",Computer Engineering,2023,Mumbai University,GOPENS,98.34
" Thadomal Shahani Engineering College, Bandra, Mumbai",Computer Engineering,2023,Mumbai University,TFWS,98.87
" Thadomal Shahani Engineering College, Bandra, Mumbai",Computer Engineering,2023,Mumbai University,EWS,98.14
" Thadomal Shahani Engineering College, Bandra, Mumbai",Computer Engineering,2023,Mumbai University,GOBCS,97.69
" Thadomal Shahani Engineering College, Bandra, Mumbai",Information Technology ,2023,Mumbai University,GOPENS,98.09
" Thadomal Shahani Engineering College, Bandra, Mumbai",Information Technology ,2023,Mumbai University,TFWS,98.46
" Thadomal Shahani Engineering College, Bandra, Mumbai",Information Technology ,2023,Mumbai University,EWS,97.18
" Thadomal Shahani Engineering College, Bandra, Mumbai",Information Technology ,2023,Mumbai University,GOBCS,97.37
" Thadomal Shahani Engineering College, Bandra, Mumbai",Mechanical Engineering,2023,Mumbai University,GOPENS,93.13
" Thadomal Shahani Engineering College, Bandra, Mumbai",Mechanical Engineering,2023,Mumbai University,TFWS,92.24
" Thadomal Shahani Engineering College, Bandra, Mumbai",Mechanical Engineering,2023,Mumbai University,EWS,92.81
" Thadomal Shahani Engineering College, Bandra, Mumbai",Mechanical Engineering,2023,Mumbai University,GOBCS,75.48
" Thadomal Shahani Engineering College, Bandra, Mumbai",Elecrical Engineering,2023,Mumbai University,GOPENS,95.8
" Thadomal Shahani Engineering College, Bandra, Mumbai",Elecrical Engineering,2023,Mumbai University,TFWS,96.01
" Thadomal Shahani Engineering College, Bandra, Mumbai",Elecrical Engineering,2023,Mumbai University,EWS,94.2
" Thadomal Shahani Engineering College, Bandra, Mumbai",Elecrical Engineering,2023,Mumbai University,GOBCS,94.21
"Vidyalankar Institute of Technology,Wadala, Mumbai",Computer Engineering,2023,Mumbai University,GOPENS,97.75
"Vidyalankar Institute of Technology,Wadala, Mumbai",Computer Engineering,2023,Mumbai University,TFWS,97.9
"Vidyalankar Institute of Technology,Wadala, Mumbai",Computer Engineering,2023,Mumbai University,EWS,97.36
"Vidyalankar Institute of Technology,Wadala, Mumbai",Computer Engineering,2023,Mumbai University,GOBCS,97.22
"Vidyalankar Institute of Technology,Wadala, Mumbai",Information Technology ,2023,Mumbai University,GOPENS,97.13
"Vidyalankar Institute of Technology,Wadala, Mumbai",Information Technology ,2023,Mumbai University,TFWS,97.57
"Vidyalankar Institute of Technology,Wadala, Mumbai",Information Technology ,2023,Mumbai University,EWS,97.21
"Vidyalankar Institute of Technology,Wadala, Mumbai",Information Technology ,2023,Mumbai University,GOBCS,96.65
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mechanical Engineering,2023,Mumbai University,GOPENS,77.63
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mechanical Engineering,2023,Mumbai University,TFWS,85.04
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mechanical Engineering,2023,Mumbai University,EWS,72.89
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mechanical Engineering,2023,Mumbai University,GOBCS,59.52
"Vidyalankar Institute of Technology,Wadala, Mumbai",Elecrical Engineering,2023,Mumbai University,GOPENS,77.03
"Vidyalankar Institute of Technology,Wadala, Mumbai",Elecrical Engineering,2023,Mumbai University,TFWS,88.74
"Vidyalankar Institute of Technology,Wadala, Mumbai",Elecrical Engineering,2023,Mumbai University,EWS,77.84
"Vidyalankar Institute of Technology,Wadala, Mumbai",Elecrical Engineering,2023,Mumbai University,GOBCS,74.11
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,2023,Mumbai University,GOPENS,85.83
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,2023,Mumbai University,TFWS,91.97
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,2023,Mumbai University,EWS,86.2
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,2023,Mumbai University,GOBCS,80.84
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology ,2023,Mumbai University,GOPENS,82.19
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology ,2023,Mumbai University,TFWS,90.37
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology ,2023,Mumbai University,EWS,82.93
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology ,2023,Mumbai University,GOBCS,74.2
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,2023,Mumbai University,GOPENS,58.81
